,Open,High,Low,Close,Adj Close,Volume
2018-01-02,267.8399963378906,268.80999755859375,267.3999938964844,268.7699890136719,249.99337768554688,86655700.0
2018-01-03,268.9599914550781,270.6400146484375,268.9599914550781,270.4700012207031,251.5746612548828,90070400.0
2018-01-04,271.20001220703125,272.1600036621094,270.5400085449219,271.6099853515625,252.635009765625,80636400.0
2018-01-05,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,254.3185577392578,83524000.0
2018-01-06,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,254.3185577392578,0.0
2018-01-07,272.510009765625,273.55999755859375,271.95001220703125,273.4200134277344,254.3185577392578,0.0
2018-01-08,273.30999755859375,274.1000061035156,272.9800109863281,273.9200134277344,254.78358459472656,57319200.0
2018-01-09,274.3999938964844,275.25,274.0799865722656,274.5400085449219,255.36026000976562,57254000.0
2018-01-10,273.67999267578125,274.4200134277344,272.9200134277344,274.1199951171875,254.96958923339844,69574300.0
2018-01-11,274.75,276.1199951171875,274.55999755859375,276.1199951171875,256.82989501953125,62361500.0
2018-01-12,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,258.504150390625,90816100.0
2018-01-13,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,258.504150390625,0.0
2018-01-14,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,258.504150390625,0.0
2018-01-15,276.4200134277344,278.1099853515625,276.0799865722656,277.9200134277344,258.504150390625,0.0
2018-01-16,279.3500061035156,280.0899963378906,276.17999267578125,276.9700012207031,257.6205139160156,106555100.0
2018-01-17,278.0299987792969,280.04998779296875,276.9700012207031,279.6099853515625,260.0760498046875,113258800.0
2018-01-18,279.4800109863281,279.9599914550781,278.5799865722656,279.1400146484375,259.6389465332031,100728000.0
2018-01-19,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,260.8201599121094,140920100.0
2018-01-20,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,260.8201599121094,0.0
2018-01-21,279.79998779296875,280.4100036621094,279.1400146484375,280.4100036621094,260.8201599121094,0.0
2018-01-22,280.1700134277344,282.69000244140625,280.1099853515625,282.69000244140625,262.9408874511719,91322400.0
2018-01-23,282.739990234375,283.6199951171875,282.3699951171875,283.2900085449219,263.4990234375,97084700.0
2018-01-24,284.0199890136719,284.70001220703125,281.8399963378906,283.17999267578125,263.39666748046875,134816100.0
2018-01-25,284.1600036621094,284.2699890136719,282.3999938964844,283.29998779296875,263.5083312988281,84587300.0
2018-01-26,284.25,286.6300048828125,283.9599914550781,286.5799865722656,266.5591735839844,107743100.0
2018-01-27,284.25,286.6300048828125,283.9599914550781,286.5799865722656,266.5591735839844,0.0
2018-01-28,284.25,286.6300048828125,283.9599914550781,286.5799865722656,266.5591735839844,0.0
2018-01-29,285.92999267578125,286.42999267578125,284.5,284.67999267578125,264.7919006347656,90118300.0
2018-01-30,282.6000061035156,284.739990234375,281.2200012207031,281.760009765625,262.075927734375,131796400.0
2018-01-31,282.7300109863281,283.29998779296875,280.67999267578125,281.8999938964844,262.2060546875,108364800.0
2018-02-01,281.07000732421875,283.05999755859375,280.67999267578125,281.5799865722656,261.9084777832031,90102500.0
2018-02-02,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,256.20672607421875,173174800.0
2018-02-03,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,256.20672607421875,0.0
2018-02-04,280.0799865722656,280.2300109863281,275.4100036621094,275.45001220703125,256.20672607421875,0.0
2018-02-05,273.45001220703125,275.8500061035156,263.30999755859375,263.92999267578125,245.4915313720703,294681800.0
2018-02-06,259.94000244140625,269.70001220703125,258.70001220703125,269.1300048828125,250.3282470703125,355026800.0
2018-02-07,268.5,272.3599853515625,267.5799865722656,267.6700134277344,248.97019958496094,167376100.0
2018-02-08,268.010009765625,268.1700134277344,257.5899963378906,257.6300048828125,239.6316375732422,246449500.0
2018-02-09,260.79998779296875,263.6099853515625,252.9199981689453,261.5,243.23126220703125,283565300.0
2018-02-10,260.79998779296875,263.6099853515625,252.9199981689453,261.5,243.23126220703125,0.0
2018-02-11,260.79998779296875,263.6099853515625,252.9199981689453,261.5,243.23126220703125,0.0
2018-02-12,263.8299865722656,267.010009765625,261.6600036621094,265.3399963378906,246.80299377441406,143736000.0
2018-02-13,263.9700012207031,266.6199951171875,263.30999755859375,266.0,247.4168701171875,81223600.0
2018-02-14,264.30999755859375,270.0,264.29998779296875,269.5899963378906,250.7560577392578,120735700.0
2018-02-15,271.57000732421875,273.0400085449219,268.7699890136719,273.0299987792969,253.9557342529297,111200300.0
2018-02-16,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,254.03018188476562,160420100.0
2018-02-17,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,254.03018188476562,0.0
2018-02-18,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,254.03018188476562,0.0
2018-02-19,272.32000732421875,275.32000732421875,272.2699890136719,273.1099853515625,254.03018188476562,0.0
2018-02-20,272.0299987792969,273.6700134277344,270.5,271.3999938964844,252.43968200683594,86369700.0
2018-02-21,271.8999938964844,274.7200012207031,269.94000244140625,270.04998779296875,251.1839599609375,98883700.0
2018-02-22,271.1000061035156,273.04998779296875,269.6400146484375,270.3999938964844,251.50953674316406,110511300.0
2018-02-23,271.7900085449219,274.7099914550781,271.25,274.7099914550781,255.51841735839844,92766400.0
2018-02-24,271.7900085449219,274.7099914550781,271.25,274.7099914550781,255.51841735839844,0.0
2018-02-25,271.7900085449219,274.7099914550781,271.25,274.7099914550781,255.51841735839844,0.0
2018-02-26,275.92999267578125,278.010009765625,275.260009765625,277.8999938964844,258.48553466796875,86491400.0
2018-02-27,278.1099853515625,278.9200134277344,274.3599853515625,274.42999267578125,255.2579803466797,99099200.0
2018-02-28,275.67999267578125,276.19000244140625,271.2900085449219,271.6499938964844,252.6721954345703,121907800.0
2018-03-01,271.4100036621094,273.1700134277344,266.0,267.70001220703125,248.99813842773438,176855100.0
2018-03-02,265.79998779296875,269.7200012207031,264.82000732421875,269.0799865722656,250.2816925048828,139083200.0
2018-03-03,265.79998779296875,269.7200012207031,264.82000732421875,269.0799865722656,250.2816925048828,0.0
